index_code,con_code,trade_date,weight,stock_name
000016.SH,600028.SH,20251231,0.965,中国石化
000016.SH,600030.SH,20251231,3.004,中信证券
000016.SH,600031.SH,20251231,1.344,三一重工
000016.SH,600036.SH,20251231,5.586,招商银行
000016.SH,600050.SH,20251231,0.856,中国联通
000016.SH,600104.SH,20251231,0.75,上汽集团
000016.SH,600111.SH,20251231,1.251,北方稀土
000016.SH,600150.SH,20251231,1.61,中国船舶
000016.SH,600276.SH,20251231,2.851,恒瑞医药
000016.SH,600309.SH,20251231,1.544,万华化学
000016.SH,600406.SH,20251231,0.968,国电南瑞
000016.SH,600519.SH,20251231,9.243,贵州茅台
000016.SH,600690.SH,20251231,1.049,海尔智家
000016.SH,600760.SH,20251231,0.512,中航沈飞
000016.SH,600809.SH,20251231,0.898,山西汾酒
000016.SH,600887.SH,20251231,1.939,伊利股份
000016.SH,600900.SH,20251231,3.566,长江电力
000016.SH,600930.SH,20251231,0.197,华电新能
000016.SH,601012.SH,20251231,1.183,隆基绿能
000016.SH,601088.SH,20251231,1.432,中国神华
000016.SH,601127.SH,20251231,1.059,赛力斯
000016.SH,601166.SH,20251231,3.822,兴业银行
000016.SH,601211.SH,20251231,2.489,国泰海通
000016.SH,601225.SH,20251231,0.886,陕西煤业
000016.SH,601288.SH,20251231,2.365,农业银行
000016.SH,601318.SH,20251231,7.816,中国平安
000016.SH,601328.SH,20251231,2.073,交通银行
000016.SH,601398.SH,20251231,2.75,工商银行
000016.SH,601601.SH,20251231,1.538,中国太保
000016.SH,601628.SH,20251231,0.813,中国人寿
000016.SH,601658.SH,20251231,0.644,邮储银行
000016.SH,601668.SH,20251231,1.136,中国建筑
000016.SH,601728.SH,20251231,1.049,中国电信
000016.SH,601816.SH,20251231,1.621,京沪高铁
000016.SH,601857.SH,20251231,1.265,中国石油
000016.SH,601888.SH,20251231,0.99,中国中免
000016.SH,601899.SH,20251231,6.086,紫金矿业
000016.SH,601919.SH,20251231,1.026,中远海控
000016.SH,601985.SH,20251231,0.763,中国核电
000016.SH,601988.SH,20251231,0.879,中国银行
000016.SH,603019.SH,20251231,1.343,中科曙光
000016.SH,603259.SH,20251231,2.403,药明康德
000016.SH,603501.SH,20251231,1.143,豪威集团
000016.SH,603993.SH,20251231,1.872,洛阳钼业
000016.SH,688008.SH,20251231,1.446,澜起科技
000016.SH,688012.SH,20251231,1.281,中微公司
000016.SH,688041.SH,20251231,2.237,海光信息
000016.SH,688111.SH,20251231,0.762,金山办公
000016.SH,688256.SH,20251231,3.064,寒武纪-U
000016.SH,688981.SH,20251231,2.633,中芯国际
